AP: 10.0.0.1
STA0: 10.0.0.2
STA1: 10.0.0.3
1.1s: 	26.496 Mbit/s (STA0)
1.1s: 	26.496 Mbit/s (STA1)
1.2s: 	32.7373 Mbit/s (STA0)
1.2s: 	32.7373 Mbit/s (STA1)
1.3s: 	30.6176 Mbit/s (STA0)
1.3s: 	30.6176 Mbit/s (STA1)
1.4s: 	33.7971 Mbit/s (STA0)
1.4s: 	33.7971 Mbit/s (STA1)
1.5s: 	32.5018 Mbit/s (STA0)
1.5s: 	32.5018 Mbit/s (STA1)
1.6s: 	32.9728 Mbit/s (STA0)
1.6s: 	32.9728 Mbit/s (STA1)
1.7s: 	32.0307 Mbit/s (STA0)
1.7s: 	32.0307 Mbit/s (STA1)
1.8s: 	29.6755 Mbit/s (STA0)
1.8s: 	29.6755 Mbit/s (STA1)
1.9s: 	30.6176 Mbit/s (STA0)
1.9s: 	30.6176 Mbit/s (STA1)
2s: 	30.1466 Mbit/s (STA0)
2s: 	30.1466 Mbit/s (STA1)
2.1s: 	32.6195 Mbit/s (STA0)
2.1s: 	32.6195 Mbit/s (STA1)
2.2s: 	30.6176 Mbit/s (STA0)
2.2s: 	30.6176 Mbit/s (STA1)
2.3s: 	31.6774 Mbit/s (STA0)
2.3s: 	31.6774 Mbit/s (STA1)
2.4s: 	32.7373 Mbit/s (STA0)
2.4s: 	32.7373 Mbit/s (STA1)
2.5s: 	32.9728 Mbit/s (STA0)
2.5s: 	32.9728 Mbit/s (STA1)
2.6s: 	31.0886 Mbit/s (STA0)
2.6s: 	31.0886 Mbit/s (STA1)
2.7s: 	30.9709 Mbit/s (STA0)
2.7s: 	30.9709 Mbit/s (STA1)
2.8s: 	30.7354 Mbit/s (STA0)
2.8s: 	30.7354 Mbit/s (STA1)
2.9s: 	32.0307 Mbit/s (STA0)
2.9s: 	32.0307 Mbit/s (STA1)
3s: 	31.5597 Mbit/s (STA0)
3s: 	31.5597 Mbit/s (STA1)
3.1s: 	32.5018 Mbit/s (STA0)
3.1s: 	32.5018 Mbit/s (STA1)
3.2s: 	31.7952 Mbit/s (STA0)
3.2s: 	31.7952 Mbit/s (STA1)
3.3s: 	32.0307 Mbit/s (STA0)
3.3s: 	32.0307 Mbit/s (STA1)
3.4s: 	33.6794 Mbit/s (STA0)
3.4s: 	33.6794 Mbit/s (STA1)
3.5s: 	30.7354 Mbit/s (STA0)
3.5s: 	30.7354 Mbit/s (STA1)
3.6s: 	31.3242 Mbit/s (STA0)
3.6s: 	31.3242 Mbit/s (STA1)
3.7s: 	29.5578 Mbit/s (STA0)
3.7s: 	29.5578 Mbit/s (STA1)
3.8s: 	30.9709 Mbit/s (STA0)
3.8s: 	30.9709 Mbit/s (STA1)
3.9s: 	29.44 Mbit/s (STA0)
3.9s: 	29.44 Mbit/s (STA1)
4s: 	30.0288 Mbit/s (STA0)
4s: 	30.0288 Mbit/s (STA1)
4.1s: 	32.2662 Mbit/s (STA0)
4.1s: 	32.2662 Mbit/s (STA1)
4.2s: 	31.3242 Mbit/s (STA0)
4.2s: 	31.3242 Mbit/s (STA1)
4.3s: 	28.969 Mbit/s (STA0)
4.3s: 	28.969 Mbit/s (STA1)
4.4s: 	29.2045 Mbit/s (STA0)
4.4s: 	29.2045 Mbit/s (STA1)
4.5s: 	31.7952 Mbit/s (STA0)
4.5s: 	31.7952 Mbit/s (STA1)
4.6s: 	31.7952 Mbit/s (STA0)
4.6s: 	31.7952 Mbit/s (STA1)
4.7s: 	31.0886 Mbit/s (STA0)
4.7s: 	31.0886 Mbit/s (STA1)
4.8s: 	30.6176 Mbit/s (STA0)
4.8s: 	30.6176 Mbit/s (STA1)
4.9s: 	30.9709 Mbit/s (STA0)
4.9s: 	30.9709 Mbit/s (STA1)
5s: 	32.1485 Mbit/s (STA0)
5s: 	32.1485 Mbit/s (STA1)
5.1s: 	30.9709 Mbit/s (STA0)
5.1s: 	30.9709 Mbit/s (STA1)
5.2s: 	31.2064 Mbit/s (STA0)
5.2s: 	31.2064 Mbit/s (STA1)
5.3s: 	33.4438 Mbit/s (STA0)
5.3s: 	33.4438 Mbit/s (STA1)
5.4s: 	27.6736 Mbit/s (STA0)
5.4s: 	27.6736 Mbit/s (STA1)
5.5s: 	33.7971 Mbit/s (STA0)
5.5s: 	33.7971 Mbit/s (STA1)
5.6s: 	29.7933 Mbit/s (STA0)
5.6s: 	29.7933 Mbit/s (STA1)
5.7s: 	29.5578 Mbit/s (STA0)
5.7s: 	29.5578 Mbit/s (STA1)
5.8s: 	31.5597 Mbit/s (STA0)
5.8s: 	31.5597 Mbit/s (STA1)
5.9s: 	32.0307 Mbit/s (STA0)
5.9s: 	32.0307 Mbit/s (STA1)
6s: 	31.4419 Mbit/s (STA0)
6s: 	31.4419 Mbit/s (STA1)
6.1s: 	31.2064 Mbit/s (STA0)
6.1s: 	31.2064 Mbit/s (STA1)
6.2s: 	30.8531 Mbit/s (STA0)
6.2s: 	30.8531 Mbit/s (STA1)
6.3s: 	31.0886 Mbit/s (STA0)
6.3s: 	31.0886 Mbit/s (STA1)
6.4s: 	32.5018 Mbit/s (STA0)
6.4s: 	32.5018 Mbit/s (STA1)
6.5s: 	32.2662 Mbit/s (STA0)
6.5s: 	32.2662 Mbit/s (STA1)
6.6s: 	29.911 Mbit/s (STA0)
6.6s: 	29.911 Mbit/s (STA1)
6.7s: 	30.1466 Mbit/s (STA0)
6.7s: 	30.1466 Mbit/s (STA1)
6.8s: 	30.8531 Mbit/s (STA0)
6.8s: 	30.8531 Mbit/s (STA1)
6.9s: 	31.3242 Mbit/s (STA0)
6.9s: 	31.3242 Mbit/s (STA1)
7s: 	30.6176 Mbit/s (STA0)
7s: 	30.6176 Mbit/s (STA1)
7.1s: 	31.3242 Mbit/s (STA0)
7.1s: 	31.3242 Mbit/s (STA1)
7.2s: 	29.44 Mbit/s (STA0)
7.2s: 	29.44 Mbit/s (STA1)
7.3s: 	31.0886 Mbit/s (STA0)
7.3s: 	31.0886 Mbit/s (STA1)
7.4s: 	31.4419 Mbit/s (STA0)
7.4s: 	31.4419 Mbit/s (STA1)
7.5s: 	29.5578 Mbit/s (STA0)
7.5s: 	29.5578 Mbit/s (STA1)
7.6s: 	33.4438 Mbit/s (STA0)
7.6s: 	33.4438 Mbit/s (STA1)
7.7s: 	31.3242 Mbit/s (STA0)
7.7s: 	31.3242 Mbit/s (STA1)
7.8s: 	32.0307 Mbit/s (STA0)
7.8s: 	32.0307 Mbit/s (STA1)
7.9s: 	32.5018 Mbit/s (STA0)
7.9s: 	32.5018 Mbit/s (STA1)
